Time [s],MOSI,MISO
0.184762917, 0x00, 0xA4
0.184818167, 0x00, 0x03
0.184875583, 0x00, 0x40
0.184934917, 0x00, 0x00
0.184994333, 0x00, 0x01
0.185066917, 0x00, 0x03
0.185126167, 0x00, 0xE5
0.185857083, 0x00, 0xA4
0.185912167, 0x00, 0x09
0.185969583, 0x00, 0x4E
0.186029, 0x00, 0x00
0.186088333, 0x00, 0x80
0.186147667, 0x00, 0xFF
0.186207, 0x00, 0xFF
0.186266417, 0x00, 0xFF
0.186325833, 0x00, 0xFF
0.186385167, 0x00, 0xFF
0.186575167, 0x00, 0xFF
0.1866345, 0x00, 0xFF
0.18669375, 0x00, 0x9C
0.191992667, 0x00, 0xA5
0.192115083, 0x09, 0xFF
0.1921785, 0x4E, 0xFF
0.192244917, 0x00, 0xFF
0.192311417, 0x00, 0xFF
0.192377833, 0xF7, 0xFF
0.19244425, 0x01, 0xFF
0.19251075, 0x09, 0xFF
0.192577417, 0x64, 0xFF
0.1926445, 0x00, 0xFF
0.1927115, 0xFF, 0xFF
0.1927785, 0xFF, 0xFF
0.192846667, 0x79, 0xFF
0.435017333, 0x00, 0xA4
0.435072583, 0x00, 0x03
0.435129917, 0x00, 0x40
0.435189333, 0x00, 0x00
0.43524875, 0x00, 0x01
0.435320833, 0x00, 0x03
0.435380083, 0x00, 0xE5
0.436111, 0x00, 0xA4
0.436166083, 0x00, 0x09
0.4362235, 0x00, 0x4E
0.436282917, 0x00, 0x00
0.43634225, 0x00, 0x80
0.436401583, 0x00, 0xFF
0.436460917, 0x00, 0xFF
0.436520333, 0x00, 0xFF
0.43657975, 0x00, 0xFF
0.436639083, 0x00, 0xFF
0.436829, 0x00, 0xFF
0.436888417, 0x00, 0xFF
0.436947667, 0x00, 0x9C
0.442247, 0x00, 0xA5
0.4423695, 0x09, 0xFF
0.442432833, 0x4E, 0xFF
0.44249925, 0x00, 0xFF
0.44256575, 0x00, 0xFF
0.442632167, 0xF7, 0xFF
0.442698583, 0x01, 0xFF
0.442765083, 0x09, 0xFF
0.442831833, 0x64, 0xFF
0.442898833, 0x00, 0xFF
0.442965833, 0xFF, 0xFF
0.443032833, 0xFF, 0xFF
0.443101, 0x79, 0xFF
0.685271583, 0x00, 0xA4
0.685326833, 0x00, 0x03
0.68538425, 0x00, 0x40
0.685443583, 0x00, 0x00
0.685503, 0x00, 0x01
0.685575667, 0x00, 0x03
0.685635, 0x00, 0xE5
0.686365833, 0x00, 0xA4
0.686421, 0x00, 0x09
0.686478417, 0x00, 0x4E
0.68653775, 0x00, 0x00
0.686597167, 0x00, 0x80
0.686656417, 0x00, 0xFF
0.686715833, 0x00, 0xFF
0.68677525, 0x00, 0xFF
0.686834583, 0x00, 0xFF
0.686894, 0x00, 0xFF
0.687083917, 0x00, 0xFF
0.687143333, 0x00, 0xFF
0.687202583, 0x00, 0x9C
0.692501417, 0x00, 0xA5
0.692623833, 0x09, 0xFF
0.69268725, 0x4E, 0xFF
0.692753667, 0x00, 0xFF
0.692820083, 0x00, 0xFF
0.692886583, 0xF7, 0xFF
0.692953, 0x01, 0xFF
0.6930195, 0x09, 0xFF
0.693086167, 0x64, 0xFF
0.693153167, 0x00, 0xFF
0.69322025, 0xFF, 0xFF
0.69328725, 0xFF, 0xFF
0.693355417, 0x79, 0xFF
0.935526, 0x00, 0xA4
0.935581333, 0x00, 0x03
0.935638667, 0x00, 0x40
0.935698083, 0x00, 0x00
0.9357575, 0x00, 0x01
0.935829583, 0x00, 0x03
0.935888833, 0x00, 0xE5
0.936619583, 0x00, 0xA4
0.93667475, 0x00, 0x09
0.936732083, 0x00, 0x4E
0.9367915, 0x00, 0x00
0.936850917, 0x00, 0x80
0.936910167, 0x00, 0xFF
0.936969583, 0x00, 0xFF
0.937028917, 0x00, 0xFF
0.937088333, 0x00, 0xFF
0.93714775, 0x00, 0xFF
0.937337667, 0x00, 0xFF
0.937397, 0x00, 0xFF
0.937456333, 0x00, 0x9C
0.94275575, 0x00, 0xA5
0.94287825, 0x09, 0xFF
0.942941583, 0x4E, 0xFF
0.943008083, 0x00, 0xFF
0.9430745, 0x00, 0xFF
0.943141, 0xF7, 0xFF
0.943207417, 0x01, 0xFF
0.943273833, 0x09, 0xFF
0.943340583, 0x64, 0xFF
0.943407583, 0x00, 0xFF
0.943474667, 0xFF, 0xFF
0.943541667, 0xFF, 0xFF
0.94360975, 0x79, 0xFF
1.185780333, 0x00, 0xA4
1.185835667, 0x00, 0x03
1.185893, 0x00, 0x40
1.185952417, 0x00, 0x00
1.186011833, 0x00, 0x01
1.186084417, 0x00, 0x03
1.186143667, 0x00, 0xE5
1.1868745, 0x00, 0xA4
1.186929667, 0x00, 0x09
1.186987083, 0x00, 0x4E
1.1870465, 0x00, 0x00
1.187105833, 0x00, 0x80
1.187165083, 0x00, 0xFF
1.1872245, 0x00, 0xFF
1.187283917, 0x00, 0xFF
1.187343333, 0x00, 0xFF
1.187402667, 0x00, 0xFF
1.187592583, 0x00, 0xFF
1.187652, 0x00, 0xFF
1.18771125, 0x00, 0x9C
1.193010083, 0x00, 0xA5
1.193132583, 0x09, 0xFF
1.193196, 0x4E, 0xFF
1.193262417, 0x00, 0xFF
1.193328833, 0x00, 0xFF
1.193395333, 0xF7, 0xFF
1.19346175, 0x01, 0xFF
1.19352825, 0x09, 0xFF
1.193594917, 0x64, 0xFF
1.193661917, 0x00, 0xFF
1.193729, 0xFF, 0xFF
1.193796, 0xFF, 0xFF
1.193864167, 0x79, 0xFF
1.436034333, 0x00, 0xA4
1.436089583, 0x00, 0x03
1.436147, 0x00, 0x40
1.436206417, 0x00, 0x00
1.43626575, 0x00, 0x01
1.436337917, 0x00, 0x03
1.436397167, 0x00, 0xE5
1.437128, 0x00, 0xA4
1.437183167, 0x00, 0x09
1.437240583, 0x00, 0x4E
1.437299917, 0x00, 0x00
1.437359333, 0x00, 0x80
1.437418583, 0x00, 0xFF
1.437477833, 0x00, 0xFF
1.43753725, 0x00, 0xFF
1.437596667, 0x00, 0xFF
1.437656, 0x00, 0xFF
1.437845917, 0x00, 0xFF
1.437905333, 0x00, 0xFF
1.437964583, 0x00, 0x9C
1.4432645, 0x00, 0xA5
1.443387, 0x09, 0xFF
1.443450333, 0x4E, 0xFF
1.44351675, 0x00, 0xFF
1.44358325, 0x00, 0xFF
1.443649667, 0xF7, 0xFF
1.443716167, 0x01, 0xFF
1.443782583, 0x09, 0xFF
1.443849333, 0x64, 0xFF
1.443916333, 0x00, 0xFF
1.443983417, 0xFF, 0xFF
1.444050417, 0xFF, 0xFF
1.4441185, 0x79, 0xFF
1.686288833, 0x00, 0xA4
1.686344083, 0x00, 0x03
1.6864015, 0x00, 0x40
1.686460917, 0x00, 0x00
1.68652025, 0x00, 0x01
1.686592833, 0x00, 0x03
1.686652083, 0x00, 0xE5
1.687382917, 0x00, 0xA4
1.68743825, 0x00, 0x09
1.687495583, 0x00, 0x4E
1.687555, 0x00, 0x00
1.687614417, 0x00, 0x80
1.687673667, 0x00, 0xFF
1.687733083, 0x00, 0xFF
1.687792417, 0x00, 0xFF
1.687851833, 0x00, 0xFF
1.68791125, 0x00, 0xFF
1.688101167, 0x00, 0xFF
1.6881605, 0x00, 0xFF
1.688219833, 0x00, 0x9C
1.693518917, 0x00, 0xA5
1.693641417, 0x09, 0xFF
1.69370475, 0x4E, 0xFF
1.693771167, 0x00, 0xFF
1.693837667, 0x00, 0xFF
1.693904083, 0xF7, 0xFF
1.693970583, 0x01, 0xFF
1.694037, 0x09, 0xFF
1.69410375, 0x64, 0xFF
1.69417075, 0x00, 0xFF
1.69423775, 0xFF, 0xFF
1.69430475, 0xFF, 0xFF
1.694372917, 0x79, 0xFF
1.936543667, 0x00, 0xA4
1.936598917, 0x00, 0x03
1.936656333, 0x00, 0x40
1.936715667, 0x00, 0x00
1.936775083, 0x00, 0x01
1.93684775, 0x00, 0x03
1.936907083, 0x00, 0xE5
1.937637833, 0x00, 0xA4
1.937692917, 0x00, 0x09
1.937750333, 0x00, 0x4E
1.93780975, 0x00, 0x00
1.937869167, 0x00, 0x80
1.937928417, 0x00, 0xFF
1.93798775, 0x00, 0xFF
1.938047167, 0x00, 0xFF
1.938106583, 0x00, 0xFF
1.938165917, 0x00, 0xFF
1.938355917, 0x00, 0xFF
1.93841525, 0x00, 0xFF
1.9384745, 0x00, 0x9C
1.94377325, 0x00, 0xA5
1.94389575, 0x09, 0xFF
1.943959083, 0x4E, 0xFF
1.944025583, 0x00, 0xFF
1.944092, 0x00, 0xFF
1.944158417, 0xF7, 0xFF
1.944224917, 0x01, 0xFF
1.944291333, 0x09, 0xFF
1.944358083, 0x64, 0xFF
1.944425083, 0x00, 0xFF
